      1000     655       1      25       1    26127.62       -4.040794    
      2000     645       1      25       2    25728.72       -3.935211    
      3000     640       1      25       4    25529.27       -3.984523    
      4000     656       1      25       5    26167.51       -4.097074    
      5000     639       1      26       7    25489.39       -3.986806    
      6000     665       1      26       8    26526.51       -4.040243    
      7000     652       1      26      10    26007.95       -4.049460    
      8000     655       1      26      11    26127.62       -4.077353    
      9000     653       1      25      12    26047.84       -4.012726    
     10000     632       1      25      14    25210.16       -3.909748    
     11000     628       1      25      15    25050.60       -3.887637    
     12000     620       1      25      16    24731.48       -3.820252    
     13000     611       1      25      18    24372.48       -3.792440    
     14000     644       1      25      19    25688.83       -3.994064    
     15000     641       1      25      21    25569.16       -3.924066    
     16000     627       1      24      22    25010.71       -3.863565    
     17000     602       1      24      23    24013.47       -3.902246    
     18000     602       1      24      25    24013.47       -3.692826    
     19000     592       1      24      26    23614.58       -3.767062    
     20000     594       1      24      27    23694.36       -3.814147    
     21000     613       1      24      29    24452.26       -3.916687    
     22000     596       1      24      30    23774.14       -3.861396    
     23000     604       1      24      31    24093.25       -3.859383    
     24000     596       1      24      33    23774.14       -3.873477    
     25000     617       1      24      34    24611.82       -3.888923    
     26000     587       1      24      35    23415.13       -3.764729    
     27000     644       1      25      37    25688.83       -3.964781    
     28000     615       1      25      38    24532.04       -3.891875    
     29000     618       1      25      39    24651.71       -3.850031    
     30000     603       1      24      41    24053.36       -3.812710    
     31000     607       1      24      42    24212.92       -3.843502    
     32000     623       1      24      43    24851.15       -3.843493    
     33000     629       1      24      45    25090.49       -3.960912    
     34000     628       1      24      46    25050.60       -3.897965    
     35000     624       1      24      47    24891.04       -3.909333    
     36000     594       1      24      49    23694.36       -3.847973    
     37000     592       1      24      50    23614.58       -3.794297    
     38000     610       1      24      51    24332.59       -3.896071    
     39000     596       1      24      53    23774.14       -3.736687    
     40000     645       1      25      54    25728.72       -3.965183    
     41000     626       1      25      55    24970.82       -3.902192    
     42000     617       1      25      57    24611.82       -3.925295    
     43000     621       1      25      58    24771.37       -3.777947    
     44000     619       1      25      60    24691.60       -3.831804    
     45000     650       1      25      61    25928.17       -3.958155    
     46000     621       1      25      62    24771.37       -3.869227    
