       0       0.00000000000           0.00000000000    
       1       2.11802801133           2.11802801133    
       2       3.56125599045           3.56125599045    
       3       4.61663550196           4.61663550196    
       4       5.40196029263           5.40196029263    
       5       5.98210904292           5.98210904292    
       6       6.39766317604           6.39766317604    
       7       6.67688244943           6.67688244943    
       8       6.84043815695           6.84043815695    
       9       6.90437003953           6.90437003953    
      10       6.88077769281           6.88077769281    
      11       6.77985580199           6.77985580199    
      12       6.61001616452           6.61001616452    
      13       6.37828386691           6.37828386691    
      14       6.09036922762           6.09036922762    
      15       5.75169741367           5.75169741367    
      16       5.36708584536           5.36708584536    
      17       4.94035215152           4.94035215152    
      18       4.47453772455           4.47453772455    
      19       3.97306456436           3.97306456436    
      20       3.43892682539           3.43892682539    
      21       2.87430128735           2.87430128735    
      22       2.28180764080           2.28180764080    
      23       1.66382404661           1.66382404661    
      24       1.02195086761           1.02195086761    
      25      0.357944382084          0.357944382084    
      26     -0.326476229800         -0.326476229800    
      27      -1.02951638791          -1.02951638791    
      28      -1.75005841324          -1.75005841324    
      29      -2.48663983624          -2.48663983624    
      30      -3.23786446553          -3.23786446553    
      31      -4.00230933346          -4.00230933346    
      32      -4.77906667877          -4.77906667877    
      33      -5.56695097611          -5.56695097611    
      34      -6.36458409922          -6.36458409922    
      35      -7.17178948556          -7.17178948556    
      36      -7.98669738053          -7.98669738053    
      37      -8.80889756732          -8.80889756732    
      38      -9.63681141295          -9.63681141295    
      39      -10.4699976194          -10.4699976194    
      40      -11.3076822095          -11.3076822095    
      41      -12.1488044773          -12.1488044773    
      42      -12.9929411547          -12.9929411547    
      43      -13.8388124367          -13.8388124367    
      44      -14.6856696591          -14.6856696591    
      45      -15.5322844342          -15.5322844342    
      46      -16.3783605256          -16.3783605256    
      47      -17.2228664125          -17.2228664125    
      48      -18.0655902069          -18.0655902069    
      49      -18.9057293550          -18.9057293550    
      50      -19.7413818128          -19.7413818128    
      51      -20.5725162442          -20.5725162442    
      52      -21.3976111337          -21.3976111337    
      53      -22.2168563346          -22.2168563346    
      54      -23.0302653960          -23.0302653960    
      55      -23.8360832989          -23.8360832989    
      56      -24.6339109311          -24.6339109311    
      57      -25.4233659926          -25.4233659926    
      58      -26.2045211448          -26.2045211448    
      59      -26.9766945698          -26.9766945698    
      60      -27.7396560331          -27.7396560331    
      61      -28.4939983774          -28.4939983774    
      62      -29.2388734025          -29.2388734025    
      63      -29.9745401204          -29.9745401204    
      64      -30.7008769856          -30.7008769856    
      65      -31.4191208172          -31.4191208172    
      66      -32.1288139601          -32.1288139601    
      67      -32.8298185231          -32.8298185231    
      68      -33.5225694581          -33.5225694581    
      69      -34.2079493648          -34.2079493648    
      70      -34.8853602377          -34.8853602377    
      71      -35.5553454384          -35.5553454384    
      72      -36.2184086508          -36.2184086508    
      73      -36.8762112335          -36.8762112335    
      74      -37.5273395450          -37.5273395450    
      75      -38.1720233936          -38.1720233936    
      76      -38.8119469800          -38.8119469800    
      77      -39.4457397234          -39.4457397234    
      78      -40.0738249704          -40.0738249704    
      79      -40.6967916167          -40.6967916167    
      80      -41.3143204721          -41.3143204721    
      81      -41.9272723748          -41.9272723748    
      82      -42.5356393069          -42.5356393069    
      83      -43.1397775494          -43.1397775494    
      84      -43.7398561350          -43.7398561350    
      85      -44.3352953644          -44.3352953644    
      86      -44.9276585544          -44.9276585544    
      87      -45.5146306769          -45.5146306769    
      88      -46.0984019391          -46.0984019391    
      89      -46.6778111307          -46.6778111307    
      90      -47.2537363440          -47.2537363440    
      91      -47.8259623016          -47.8259623016    
      92      -48.3943521664          -48.3943521664    
      93      -48.9589448133          -48.9589448133    
      94      -49.5202664341          -49.5202664341    
      95      -50.0782968485          -50.0782968485    
      96      -50.6328173074          -50.6328173074    
      97      -51.1848915932          -51.1848915932    
      98      -51.7333739456          -51.7333739456    
      99      -52.2784554439          -52.2784554439    
     100      -52.8195573486          -52.8195573486    
     101      -53.3583705276          -53.3583705276    
     102      -53.8945546414          -53.8945546414    
     103      -54.4270304285          -54.4270304285    
     104      -54.9560173287          -54.9560173287    
     105      -55.4831603947          -55.4831603947    
     106      -56.0063943468          -56.0063943468    
     107      -56.5273404665          -56.5273404665    
     108      -57.0446043702          -57.0446043702    
     109      -57.5584508637          -57.5584508637    
     110      -58.0693004078          -58.0693004078    
     111      -58.5777008967          -58.5777008967    
     112      -59.0827643967          -59.0827643967    
     113      -59.5846772765          -59.5846772765    
     114      -60.0839025910          -60.0839025910    
     115      -60.5800591567          -60.5800591567    
     116      -61.0727199173          -61.0727199173    
     117      -61.5613912924          -61.5613912924    
     118      -62.0463319420          -62.0463319420    
     119      -62.5284774525          -62.5284774525    
     120      -63.0073037679          -63.0073037679    
     121      -63.4829300844          -63.4829300844    
     122      -63.9538971062          -63.9538971062    
     123      -64.4226532051          -64.4226532051    
     124      -64.8875825521          -64.8875825521    
     125      -65.3476986894          -65.3476986894    
     126      -65.8052796971          -65.8052796971    
     127      -66.2583452878          -66.2583452878    
     128      -66.7075928764          -66.7075928764    
     129      -67.1538227282          -67.1538227282    
     130      -67.5958662288          -67.5958662288    
     131      -68.0345471590          -68.0345471590    
     132      -68.4702998825          -68.4702998825    
     133      -68.9021310469          -68.9021310469    
     134      -69.3298980053          -69.3298980053    
     135      -69.7543005307          -69.7543005307    
     136      -70.1749863322          -70.1749863322    
     137      -70.5921770165          -70.5921770165    
     138      -71.0048071334          -71.0048071334    
     139      -71.4150169892          -71.4150169892    
     140      -71.8231006003          -71.8231006003    
     141      -72.2254184853          -72.2254184853    
