       0      -6.9003372           0.0000000          0.39487051E-04
       1      -4.7822647           2.1180725          0.32833859E-03
       2      -3.3397596           3.5605776          0.13892932E-02
       3      -2.2853093           4.6150279          0.39878227E-02
       4      -1.5006928           5.3996444          0.87395776E-02
       5     -0.92088556           5.9794517          0.15606213E-01
       6     -0.50586605           6.3944712          0.23634054E-01
       7     -0.22678375           6.6735535          0.31242238E-01
       8     -0.63553810E-01       6.8367834          0.36781717E-01
       9       0.0000000           6.9003372          0.39195217E-01
      10     -0.24072170E-01       6.8762650          0.38262967E-01
      11     -0.12512875           6.7752085          0.34585204E-01
      12     -0.29525757           6.6050797          0.29174561E-01
      13     -0.52745724           6.3728800          0.23129238E-01
      14     -0.81546688           6.0848703          0.17341245E-01
      15      -1.1541805           5.7461567          0.12358871E-01
      16      -1.5390048           5.3613324          0.84110806E-02
      17      -1.9662714           4.9340658          0.54864609E-02
      18      -2.4324579           4.4678793          0.34421517E-02
      19      -2.9341848           3.9661524          0.20841684E-02
      20      -3.4686832           3.4316540          0.12212459E-02
      21      -4.0334654           2.8668718          0.69425866E-03
      22      -4.6263838           2.2739534          0.38372504E-03
      23      -5.2446766           1.6556606          0.20677544E-03
      24      -5.8871536           1.0131836          0.10876139E-03
      25      -6.5516748          0.34866238          0.55959888E-04
      26      -7.2366109         -0.33627367          0.28210638E-04
      27      -7.9404707          -1.0401335          0.13955020E-04
      28      -8.6616945          -1.7613573          0.67843298E-05
      29      -9.3985472          -2.4982100          0.32471019E-05
      30      -10.150318          -3.2499809          0.15311083E-05
      31      -10.915713          -4.0153761          0.71219517E-06
      32      -11.693138          -4.7928009          0.32731634E-06
      33      -12.481642          -5.5813046          0.14877328E-06
      34      -13.280409          -6.3800716          0.66930610E-07
      35      -14.087809          -7.1874714          0.29852146E-07
      36      -14.903365          -8.0030279          0.13206382E-07
      37      -15.726400          -8.8260632          0.57988809E-08
      38      -16.555815          -9.6554775          0.25300790E-08
      39      -17.390501          -10.490164          0.10980812E-08
      40      -18.229483          -11.329145          0.47453619E-09
      41      -19.071692          -12.171354          0.20441027E-09
      42      -19.916559          -13.016222          0.87817545E-10
      43      -20.763556          -13.863218          0.37647441E-10
      44      -21.611244          -14.710907          0.16128314E-10
      45      -22.459173          -15.558836          0.69077734E-11
